2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | CRITICAL | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | CRITICAL | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | ERROR |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils.log | WARNING | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | ERROR | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | ERROR |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | WARNING | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | WARNING |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | INFO | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | CRITICAL | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | INFO | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | CRITICAL | Disk failure detected
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | ERROR | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | WARNING | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | INFO | Disk failure detected
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | INFO | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | INFO | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | INFO |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils.log | ERROR | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | INFO |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils.log | INFO |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | ERROR | Disk failure detected
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | INFO | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | CRITICAL |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils.log | WARNING |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | CRITICAL | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | CRITICAL | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils.log | WARNING | Disk failure detected
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | ERROR | Disk failure detected
2025-04-11 20:20:19 | logGLfolder\log_utils.log | INFO | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | INFO | Disk failure detected
2025-04-11 20:20:19 | logGLfolder\log_utils.log | WARNING |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | INFO |  System failure
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | INFO | Database corruption
2025-04-11 20:20:19 | logGLfolder\log_utils_db.log | ERROR | Disk failure detected
2025-04-27 12:54:28 | logGLfolder\log_utils.log | INFO | Database corruption
2025-04-27 12:54:28 | logGLfolder\log_utils_db.log | WARNING |  System failure
2025-04-27 12:54:28 | logGLfolder\log_utils.log | INFO |  System failure
2025-04-27 12:54:28 | logGLfolder\log_utils.log | WARNING | Disk failure detected
2025-04-27 12:54:28 | logGLfolder\log_utils.log | ERROR |  System failure
2025-04-27 12:54:28 | logGLfolder\log_utils.log | WARNING | Database corruption
2025-04-27 12:54:28 | logGLfolder\log_utils.log | INFO | Disk failure detected
2025-04-27 12:54:28 | logGLfolder\log_utils.log | CRITICAL | Database corruption
2025-04-27 12:54:28 | logGLfolder\log_utils_db.log | ERROR | Disk failure detected
2025-04-27 12:54:28 | logGLfolder\log_utils_db.log | ERROR |  System failure
2025-04-27 12:54:28 | logGLfolder\log_utils.log | INFO | Disk failure detected
2025-04-27 12:54:28 | logGLfolder\log_utils_db.log | WARNING | Database corruption
